"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","","Concluir uma tarefa pendente","Gerenciamento de estados das Tarefas","2026-08-11","unknown","","","","",""
"","1","Dado que o aplicativo Tasks.org foi iniciado","Gerenciamento de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","1873","Dado que o usuário está na tela principal de listagem de tarefas","Gerenciamento de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","172","E que o usuário está na tela principal de listagem de tarefas","Edição de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","1","Dado que o aplicativo Tasks.org foi iniciado","Gerenciamento de estados das Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","943","E confirma a criação da tarefa","Criação de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","1757","E salva as alterações","Edição de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","71","E o aplicativo é reaberto","Gerenciamento de estados das Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","96","E cancela a confirmação de exclusão","Exclusão de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","5410","Quando o usuário abre a tarefa ""Tarefa a ser excluída""","Exclusão de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","7395","Dado que existe uma tarefa concluída com o título ""Enviar e-mail""","Gerenciamento de estados das Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","281","E o usuário inicia a exclusão da tarefa","Exclusão de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","","Lista de tarefas vazia exibe estado apropriado","Gerenciamento de Tarefas","2026-08-11","unknown","","","","",""
"","101","Então a tela de detalhes da tarefa ""Reunião de equipe"" deve ser exibida","Gerenciamento de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","","Criar uma nova tarefa com título válido","Criação de Tarefas","2026-08-11","unknown","","","","",""
"","7085","E que existe uma tarefa cadastrada com o título ""Tarefa a ser excluída""","Exclusão de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","2373","E tenta confirmar a criação sem informar um título","Criação de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","1449","Quando o usuário abre a tarefa ""Pagar contas""","Edição de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","852","Então a tarefa ""Enviar e-mail"" deve estar com o status ""pendente""","Gerenciamento de estados das Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","8064","Quando o usuário cria uma tarefa com o título ""Comprar leite""","Criação de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","2549","Então a tarefa ""Comprar mantimentos"" deve ser exibida na lista de tarefas","Criação de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","","Status de conclusão da tarefa permanece após reiniciar o aplicativo","Gerenciamento de estados das Tarefas","2026-08-11","unknown","","","","",""
"","1","Dado que o aplicativo Tasks.org foi iniciado","Edição de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","328","Então a tarefa ""Preparar apresentação para segunda"" deve ser exibida na lista de tarefas","Criação de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","5572","Dado que existe uma tarefa cadastrada com o título ""Lavar o carro""","Edição de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","","Editar o título de uma tarefa existente","Edição de Tarefas","2026-08-11","unknown","","","","",""
"","","Descartar alterações feitas durante a edição de uma tarefa","Edição de Tarefas","2026-08-11","unknown","","","","",""
"","7769","Dado que existe uma tarefa cadastrada com o título ""Revisar relatório""","Gerenciamento de estados das Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","5470","Quando o usuário cria uma tarefa com o título ""Agendar consulta médica""","Criação de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","1776","E confirma a exclusão","Exclusão de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","498","Então a tarefa ""Agendar consulta médica"" deve ser exibida na lista de tarefas","Criação de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","626","Então o usuário deve permanecer com a tarefa ""Tarefa a ser excluída"" aberta","Exclusão de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","","Tarefa recém-criada aparece imediatamente na lista","Gerenciamento de Tarefas","2026-08-11","unknown","","","","",""
"","5","Dado que o aplicativo Tasks.org foi iniciado","Edição de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","234","Quando o usuário inicia a criação de uma nova tarefa","Criação de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","306","Então a tarefa ""Pagar contas"" deve ser exibida na lista de tarefas","Edição de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","2085","Quando o usuário marca a tarefa ""Enviar e-mail"" como ""pendente""","Gerenciamento de estados das Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","1123","Validar abertura do aplicativo","Abertura do Tasks.org","2026-08-11","passed","2026-08-11","","","",""
"","3180","Então a tarefa ""Tarefa concluída persistente"" deve estar com o status ""concluída""","Gerenciamento de estados das Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","2175","E que o usuário está na tela principal de listagem de tarefas","Edição de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","","Cancelar a exclusão de uma tarefa","Exclusão de Tarefas","2026-08-11","unknown","","","","",""
"","96","Quando o usuário inicia a criação de uma nova tarefa","Criação de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","2137","Quando o usuário abre a tarefa ""Lavar o carro""","Edição de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","220","Quando o aplicativo é fechado completamente","Gerenciamento de estados das Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","6789","Dado que existe uma tarefa concluída com o título ""Tarefa concluída persistente""","Gerenciamento de estados das Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","113","Quando o usuário inicia a criação de uma nova tarefa","Criação de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","645","Então a tarefa ""Revisar relatório"" deve estar com o status ""concluída""","Gerenciamento de estados das Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","1","E a criação da tarefa não deve ser concluída","Criação de Tarefas","2026-08-11","skipped","2026-08-11","","","",""
"","7252","E informa o título ""Comprar mantimentos""","Criação de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","","Criar tarefas com diferentes títulos válidos","Criação de Tarefas","2026-08-11","unknown","","","","",""
